iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,Latitude,Longitude,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,population,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BRB,North America,Barbados,7/21/24,107794,0,0,593,13.193887	,-59.543198	,0,381592.94,0,0,2099.23,281646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.46,39.8,14.95,9.47,16978.07,,170.05,13.57,1.9,14.5,88.47,5.8,79.19,0.81,281646,,,,
BLR,Europe,Belarus,7/21/24,994037,0,0,7118,53.709807	,27.953389	,0,109796.37,0,0,786.22,9534956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.86,40.3,14.8,9.79,17167.97,,443.13,5.18,10.5,46.1,,11,74.79,0.82,9534956,,,,
BEL,Europe,Belgium,7/21/24,4870157,1691,241.57,34339,50.503887	,4.469936	,0,414839.88,144.04,20.58,2925,11655923,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.56,41.8,18.57,12.85,42658.58,0.2,114.9,4.29,25.1,31.4,,5.64,81.63,0.93,11655923,,,,
BLZ,North America,Belize,7/21/24,71412,0,0,688,17.189877	,-88.49765	,0,171088.72,0,0,1648.31,405285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.43,25,3.85,2.28,7824.36,,176.96,17.11,,,90.08,1.3,74.62,0.72,405285,,,,
BEN,Africa,Benin,7/21/24,28036,0,0,163,9.30769	    ,2.315834	,0,1935.92,0,0,11.26,13352864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.11,18.8,3.24,1.94,2064.24,49.6,235.85,0.99,0.6,12.3,11.04,0.5,61.77,0.55,13352864,,,,
BMU,North America,Bermuda,7/21/24,18860,0,0,165,32.321384	,-64.75737	,0,291709.34,0,0,2552.07,64207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.82,,,,50669.32,,139.55,13,,,,,82.59,,64207,,,,
BTN,Asia,Bhutan,7/21/24,62697,0,0,21,27.514162	,90.433601	,0,79181.61,0,0,26.52,782457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.19,28.6,4.88,2.98,8708.6,1.5,217.07,9.75,,,79.81,1.7,71.78,0.65,782457,,,,
BOL,South America,Bolivia,7/21/24,1212145,0,0,22387,-16.290154	,-63.588653	,0,97576.16,0,0,1802.13,12224114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,25.4,6.7,4.39,6885.83,7.1,204.3,6.89,,,25.38,1.1,71.51,0.72,12224114,,,,
BES,North America,Bonaire Sint Eustatius and Saba,7/21/24,11922,0,0,41,,,0,387892.38,0,0,1333.97,27052,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79,,27052,,,,
BIH,Europe,Bosnia and Herzegovina,7/21/24,403662,3,0.43,16391,43.915886	,17.679076	,0.14,127622.75,0.95,0.14,5182.22,3233530,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,42.5,16.57,10.71,11713.9,0.2,329.64,10.08,30.2,47.7,97.16,3.5,77.4,0.78,3233530,,,,
BWA,Africa,Botswana,7/21/24,330696,0,0,2801,-22.328474	,24.684866	,0,131052.25,0,0,1110.01,2630300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,25.8,3.94,2.24,15807.37,,237.37,4.81,5.7,34.4,,1.8,69.59,0.74,2630300,,,,
BRA,South America,Brazil,7/21/24,37511921,0,0,702116,-14.235004	,-51.92528	,0,176907.02,0,0,3311.19,215313504,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504,,,,
VGB,North America,British Virgin Islands,7/21/24,7557,0,0,64,18.420695	,-64.639968	,0,191259.55,0,0,1619.77,31332,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.97,,,,,,,13.67,,,,,79.07,,31332,,,,
BRN,Asia,Brunei,7/21/24,347069,399,57,178,4.535277	    ,114.727669	,0,749721.56,861.9,123.13,384.51,449002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.35,32.4,4.59,2.38,71809.25,,201.28,12.79,2,30.9,,2.7,75.86,0.84,449002,,,,
